x,y
1.395358223787152019e-02,-1.154972513960987428e-02
1.586584730074641625e-02,-1.221099351672635426e-02
1.789876874419416009e-02,-1.286018247393139365e-02
2.005183992157155703e-02,-1.349751334987552703e-02
2.232452424240261024e-02,-1.412317184631231917e-02
2.471625530610860322e-02,-1.473730341580630106e-02
2.722643704316646263e-02,-1.534000945220404671e-02
2.985444386366226110e-02,-1.593134431182782057e-02
3.259962081320089133e-02,-1.651131318272908849e-02
3.546128373613471885e-02,-1.707987080867481161e-02
3.843871944606969127e-02,-1.763692106396263365e-02
4.153118590360571627e-02,-1.818231736480223348e-02
4.473791240126889779e-02,-1.871586389298732223e-02
4.805809975558827940e-02,-1.923731759802974756e-02
5.149092050626824513e-02,-1.974639093495253808e-02
5.503551912240989274e-02,-2.024275528664221460e-02
5.869101221572653460e-02,-2.072604501213475003e-02
6.245648876070319933e-02,-2.119586205554062699e-02
6.633101032164273603e-02,-2.165178104456783048e-02
7.031361128654400883e-02,-2.209335480283787512e-02
7.440329910775272948e-02,-2.252012019645171018e-02
7.859905454932480939e-02,-2.293160423258003289e-02
8.289983194104127984e-02,-2.332733032624120795e-02
8.730455943901188620e-02,-2.370682465089426691e-02
9.181213929280046537e-02,-2.406962248899821924e-02
9.642144811900738022e-02,-2.441527450025202800e-02
1.011313371812403439e-01,-2.474335282778914250e-02
1.059406326764038564e-01,-2.505345696610919090e-02
1.108481360272351446e-01,-2.534521931892372640e-02
1.158526241810146629e-01,-2.561831038030147611e-02
1.209528499143773250e-01,-2.587244347843998399e-02
1.261475421441454192e-01,-2.610737902797355056e-02
1.314354062441105975e-01,-2.632292824386113506e-02
1.368151243676802853e-01,-2.651895627747264186e-02
1.422853557763144039e-01,-2.669538474341270895e-02
1.478447371736640314e-01,-2.685219361377097144e-02
1.534918830453341210e-01,-2.698942246476612392e-02
1.592253860041831781e-01,-2.710717106904486293e-02
1.650438171410725241e-01,-2.720559933510309156e-02
1.709457263809812111e-01,-2.728492660331310882e-02
1.769296428443952185e-01,-2.734543031576876920e-02
1.829940752138806692e-01,-2.738744408450785595e-02
1.891375121057524700e-01,-2.741135518955734041e-02
1.953584224467416197e-01,-2.741760154458750334e-02
2.016552558555720354e-01,-2.740666817369772842e-02
2.080264430293469746e-01,-2.737908324792190373e-02
2.144703961346526300e-01,-2.733541373439329208e-02
2.209855092032799728e-01,-2.727626071470552055e-02
2.275701585324649279e-01,-2.720225443182430758e-02
2.342227030895493445e-01,-2.711404912692265065e-02
2.409414849209612353e-01,-2.701231772873060460e-02
2.477248295654113086e-01,-2.689774645840944944e-02
2.545710464712032106e-01,-2.677102941259732957e-02
2.614784294175551693e-01,-2.663286318615286016e-02
2.684452569398261268e-01,-2.648394159427951144e-02
2.754697927585401107e-01,-2.632495055118915656e-02
2.825502862121035408e-01,-2.615656315930779338e-02
2.896849726931080005e-01,-2.597943505929755509e-02
2.968720740881055642e-01,-2.579420008692969238e-02
3.041097992207534850e-01,-2.560146627815894707e-02
3.113963442982120577e-01,-2.540181225869471773e-02
3.187298933606877993e-01,-2.519578404900911853e-02
3.261086187340088149e-01,-2.498389231014500750e-02
3.335306814851195512e-01,-2.476661004996142876e-02
3.409942318803809158e-01,-2.454437080365739696e-02
3.484974098465636883e-01,-2.431756729661947031e-02
3.560383454344168142e-01,-2.408655059191697548e-02
3.636151592846984526e-01,-2.385162971918889860e-02
3.712259630965517587e-01,-2.361307177629012877e-02
3.788688600981084953e-01,-2.337110248995598674e-02
3.865419455192049547e-01,-2.312590721695029911e-02
3.942433070660905092e-01,-2.287763236273642614e-02
4.019710253980109949e-01,-2.262638719069111001e-02
4.097231746055489121e-01,-2.237224599130338901e-02
4.174978226906004286e-01,-2.211525057769251831e-02
4.252930320478696125e-01,-2.185541307116056417e-02
4.331068599477604919e-01,-2.159271893838106068e-02
4.409373590205460380e-01,-2.132713024022064863e-02
4.487825777416933337e-01,-2.105858905109694520e-02
4.566405609182246916e-01,-2.078702100718656659e-02
4.645093501759920973e-01,-2.051233894169832150e-02
4.723869844477459612e-01,-2.023444656580219297e-02
4.802715004618736683e-01,-1.995324215462954479e-02
4.881609332316880212e-01,-1.966862219900675224e-02
4.960533165451434523e-01,-1.938048498522211907e-02
5.039466834548567142e-01,-1.908873406711682208e-02
5.118390667683120343e-01,-1.879328159709936844e-02
5.197284995381263872e-01,-1.849405148526665071e-02
5.276130155522540388e-01,-1.819098235863296151e-02
5.354906498240080692e-01,-1.788403029547785961e-02
5.433594390817755304e-01,-1.757317131298169119e-02
5.512174222583067218e-01,-1.725840358958079940e-02
5.590626409794540175e-01,-1.693974940680184962e-02
5.668931400522395636e-01,-1.661725679868477842e-02
5.747069679521304986e-01,-1.629100090023893541e-02
5.825021773093996824e-01,-1.596108498965993772e-02
5.902768253944511434e-01,-1.562764122223179661e-02
5.980289746019891162e-01,-1.529083105691957968e-02
6.057566929339095463e-01,-1.495084537959351714e-02
6.134580544807950453e-01,-1.460790432959218482e-02
6.211311399018917268e-01,-1.426225683890883222e-02
6.287740369034484633e-01,-1.391417989565344598e-02
6.363848407153016584e-01,-1.356397754558888620e-02
6.439616545655832969e-01,-1.321197964745359985e-02
6.515025901534363673e-01,-1.285854039945584157e-02
6.590057681196190842e-01,-1.250403665575341473e-02
6.664693185148806709e-01,-1.214886605291614144e-02
6.738913812659912406e-01,-1.179344496730775488e-02
6.812701066393123117e-01,-1.143820632502396892e-02
6.886036557017880533e-01,-1.108359728649151686e-02
6.958902007792465705e-01,-1.073007682807647530e-02
7.031279259118945468e-01,-1.037811324308154752e-02
7.103150273068921106e-01,-1.002818158434246043e-02
7.174497137878965702e-01,-9.680761070276816885e-03
7.245302072414602224e-01,-9.336332475710027931e-03
7.315547430601738732e-01,-8.995375528116533043e-03
7.385215705824448307e-01,-8.658366329087339650e-03
7.454289535287967894e-01,-8.325774819882390473e-03
7.522751704345886914e-01,-7.998062308864347519e-03
7.590585150790387647e-01,-7.675679077456286532e-03
7.657772969104507110e-01,-7.359062080033362298e-03
7.724298414675352387e-01,-7.048632751864474313e-03
7.790144907967200272e-01,-6.744794937878315945e-03
7.855296038653474255e-01,-6.447932953652278643e-03
7.919735569706531919e-01,-6.158409788626943368e-03
7.983447441444280201e-01,-5.876565460143859908e-03
8.046415775532584913e-01,-5.602715525502943543e-03
8.108624878942476411e-01,-5.337149757847534093e-03
8.170059247861194418e-01,-5.080130990319620121e-03
8.230703571556050591e-01,-4.831894131594357579e-03
8.290542736190188444e-01,-4.592645354608348128e-03
8.349561828589276979e-01,-4.362561459048229159e-03
8.407746139958168774e-01,-4.141789406970643704e-03
8.465081169546659901e-01,-3.930446029786455187e-03
8.521552628263360241e-01,-3.728617903767359170e-03
8.577146442236855961e-01,-3.536361390223580897e-03
8.631848756323197147e-01,-3.353702835563104889e-03
8.685645937558894580e-01,-3.180638925576236269e-03
8.738524578558546363e-01,-3.017137187498495927e-03
8.790471500856227305e-01,-2.863136632690695474e-03
8.841473758189853926e-01,-2.718548532138920486e-03
8.891518639727651330e-01,-2.583257316420794775e-03
8.940593673235961436e-01,-2.457121591307144786e-03
8.988686628187596561e-01,-2.339975259771263309e-03
9.035785518809926753e-01,-2.231628740860574535e-03
9.081878607071995901e-01,-2.131870275646710004e-03
9.126954405609881693e-01,-2.040467310309625887e-03
9.171001680589587757e-01,-1.957167946326966116e-03
9.214009454506753016e-01,-1.881702447730328577e-03
9.255967008922472150e-01,-1.813784795452672623e-03
9.296863887134559912e-01,-1.753114278923301617e-03
9.336689896783574305e-01,-1.699377115265576343e-03
9.375435112392969117e-01,-1.652248086713995617e-03
9.413089877842735209e-01,-1.611392187187804439e-03
9.449644808775901073e-01,-1.576466269333219464e-03
9.485090794937317549e-01,-1.547120683770944732e-03
9.519419002444118316e-01,-1.523000902754767689e-03
9.552620875987311022e-01,-1.503749120954945249e-03
9.584688140963943948e-01,-1.489005826621049230e-03
9.615612805539304198e-01,-1.478411336946714024e-03
9.645387162638652256e-01,-1.471607292046876476e-03
