x,y
9.181213929280040986e-02,5.856856877454571370e-02
8.730455943901183069e-02,5.713964178909007596e-02
8.289983194104122433e-02,5.568445974476791960e-02
7.859905454932464286e-02,5.420309315597796052e-02
7.440329910775272948e-02,5.269571788708122401e-02
7.031361128654400883e-02,5.116263580827447310e-02
6.633101032164262501e-02,4.960429556334971374e-02
6.245648876070314381e-02,4.802131312131548146e-02
5.869101221572647908e-02,4.641449176694506518e-02
5.503551912240989274e-02,4.478484117326438779e-02
5.149092050626824513e-02,4.313359519218598614e-02
4.805809975558816838e-02,4.146222799825320660e-02
4.473791240126889779e-02,3.977246822500078022e-02
4.153118590360560525e-02,3.806631074391515768e-02
3.843871944606963575e-02,3.634602575242897038e-02
3.546128373613471885e-02,3.461416485976256951e-02
3.259962081320089133e-02,3.287356388758637393e-02
2.985444386366220559e-02,3.112734213616962994e-02
2.722643704316640711e-02,2.937889790557327713e-02
2.471625530610860322e-02,2.763190010508986133e-02
2.232452424240255473e-02,2.589027583202713895e-02
2.005183992157150152e-02,2.415819385246080475e-02
1.789876874419416009e-02,2.244004397107373511e-02
1.586584730074636074e-02,2.074041233392632036e-02
1.395358223787152019e-02,1.906405276615761452e-02
1.216245013211320058e-02,1.741585430538372670e-02
1.049289737114272869e-02,1.580080515006954123e-02
8.945340042509797307e-03,1.422395329952393095e-02
7.520163829944748191e-03,1.269036421753381300e-02
6.217723917238127118e-03,1.120507590413501176e-02
5.038344899721436398e-03,9.773051808777084848e-03
3.982320703371122761e-03,8.399132062369637358e-03
3.049914511556117702e-03,7.087983544647019282e-03
2.241358699447026925e-03,5.844049336266566273e-03
1.556854776103400173e-03,4.671498131450911410e-03
9.965733342532923089e-04,3.574174206270068575e-03
5.606540077782162790e-04,2.555548549405222206e-03
2.492054369130913827e-04,1.618671766110767619e-03
6.230524117134539352e-05,7.661293618900878255e-04
0.000000000000000000e+00,0.000000000000000000e+00
6.230524117134539352e-05,-1.770811057975114249e-03
2.492054369130913827e-04,-3.455481379227584929e-03
5.606540077782162790e-04,-5.055954725173250966e-03
9.965733342532923089e-04,-6.574656819637109822e-03
1.556854776103400173e-03,-8.014441667523759111e-03
2.241358699447082437e-03,-9.378535434352960193e-03
3.049914511556117702e-03,-1.067047864652619603e-02
3.982320703371122761e-03,-1.189406747411938040e-02
5.038344899721436398e-03,-1.305329484944686876e-02
6.217723917238127118e-03,-1.415229215589972056e-02
7.520163829944748191e-03,-1.519527219306637290e-02
8.945340042509797307e-03,-1.618647408649476205e-02
1.049289737114278420e-02,-1.713011076435676239e-02
1.216245013211320058e-02,-1.803031956956167164e-02
1.395358223787152019e-02,-1.889111651546857701e-02
1.586584730074641625e-02,-1.971635462728149601e-02
1.789876874419416009e-02,-2.050968674056903931e-02
2.005183992157155703e-02,-2.127453305426574293e-02
2.232452424240261024e-02,-2.201405365915994755e-02
2.471625530610860322e-02,-2.273112618543850910e-02
2.722643704316646263e-02,-2.342832863552303524e-02
2.985444386366226110e-02,-2.410792739235652696e-02
3.259962081320089133e-02,-2.477187031959958083e-02
3.546128373613471885e-02,-2.542178479993353890e-02
3.843871944606969127e-02,-2.605898049183255974e-02
4.153118590360571627e-02,-2.668445652465220932e-02
4.473791240126889779e-02,-2.729891279749509236e-02
4.805809975558827940e-02,-2.790276499973014940e-02
5.149092050626824513e-02,-2.849616293083605950e-02
5.503551912240989274e-02,-2.907901166484208599e-02
5.869101221572653460e-02,-2.965099508035636683e-02
6.245648876070319933e-02,-3.021160126117186651e-02
6.633101032164273603e-02,-3.076014926475480540e-02
7.031361128654400883e-02,-3.129581675644650673e-02
7.440329910775272948e-02,-3.181766801571702524e-02
7.859905454932480939e-02,-3.232468183693980313e-02
8.289983194104127984e-02,-3.281577887043840569e-02
8.730455943901188620e-02,-3.328984797941225704e-02
9.181213929280046537e-02,-3.374577122410366004e-02
9.642144811900738022e-02,-3.418244712546916059e-02
1.011313371812403439e-01,-3.459881190584217225e-02
1.059406326764038564e-01,-3.499385845274508022e-02
1.108481360272351446e-01,-3.536665280321572846e-02
1.158526241810146629e-01,-3.571634799882190958e-02
1.209528499143773250e-01,-3.604219521500919010e-02
1.261475421441454192e-01,-3.634355212163336429e-02
